id	include_in_analysis	exclusion_crit	is_RR	support	support_binary	is_replication	contains_replic	RR_hyp_intro_abstract	RR_hyp_intro_fulltext	hypothesis_quote	result_quote	hyp_from_fulltext	result_from_fulltext	doi	title	authors	year	journal	abstract	keywords	coding_round	combining_coding_notes	uses_AS_coding	coded_by_MS	support_orig_MS	support_revised_MS	evaluation_certainty_MS	hypothesis_MS	hypothesis_introduction_MS	finding_MS	conclusion_MS	hypothesis_from_fulltext_MS	result_from_fulltext_MS	fulltext_available_MS	is_replication_old_MS	is_original_old_MS	time_spent_MS	individual_coding_notes_MS	coded_by_AS	support_orig_AS	support_revised_AS	evaluation_certainty_AS	hypothesis_AS	hypothesis_introduction_AS	finding_AS	conclusion_AS	hypothesis_from_fulltext_AS	result_from_fulltext_AS	fulltext_available_AS	is_replication_old_AS	is_original_old_AS	time_spent_AS	individual_coding_notes_AS	is_replication_new_combining_notes	is_replication_new_coded_by_AS	is_replication_new_AS	replic_notes_AS	is_replication_new_coded_by_DL	is_replication_new_DL	replic_notes_DL	is_replication_special_issue	hypothesis_intro_contains_replic
1	1		1	no support	0	1	1	aim at replicating		"""In the present study, we aim at replicating the experiment of Heinemann et al. (2009) in which the proportion of congruent and incongruent trials between different contexts was varied in a masked priming task. Their results showed a reduction of the congruency effect for the context with more incongruent trials. However, this CSPC effect was only observed when the prime–target conflict was conscious, rather than unconscious, suggesting that context-specific control operates within the boundaries of awareness. """	"""Our replication attempt however contrasts these findings. In the first experiment we found no evidence for a CSPC effect in reaction times (RTs), neither in the conscious nor in the unconscious condition. The error rate analysis did show a CSPC effect, albeit not one modulated by consciousness. In the second experiment we found an overall CSPC effect in RTs, independent of consciousness. The error rates did not display a CSPC pattern"""	0	0	10.3389/fpsyg.2014.00539	Conscious and unconscious context-specific cognitive control	Schouppe, Nathalie; de Ferrerre, Evelien; Van Opstal, Filip; Braem, Senne; Notebaert, Wim	2014	Frontiers in Psychology	© 2014 Schouppe, de Ferrerre, Van Opstal, Braem and Notebaert. A key feature of the human cognitive system is its ability to deal with an ever-changing environment. One prototypical example is the observation that we adjust our information processing depending on the conflict-likelihood of a context (context-specific proportion congruency effect, CSPC, Crump et al., 2006). Recently, empirical studies started to question the role of consciousness in these strategic adaptation processes (for reviews, see Desender and Van den Bussche, 2012; Kunde et al., 2012). However, these studies have not yielded unequivocal results (e.g., Kunde, 2003; Heinemann et al., 2009; Van Gaal et al., 2010a; Desender et al., 2013; Reuss et al., 2014). In the present study, we aim at replicating the experiment of Heinemann et al. (2009) in which the proportion of congruent and incongruent trials between different contexts was varied in a masked priming task. Their results showed a reduction of the congruency effect for the context with more incongruent trials. However, this CSPC effect was only observed when the prime-target conflict was conscious, rather than unconscious, suggesting that context-specific control operates within the boundaries of awareness. Our replication attempt however contrasts these findings. In the first experiment we found no evidence for a CSPC effect in reaction times (RTs), neither in the conscious nor in the unconscious condition. The error rate analysis did show a CSPC effect, albeit not one modulated by consciousness. In the second experiment we found an overall CSPC effect in RTs, independent of consciousness. The error rates did not display a CSPC pattern. These mixed results seem to nuance the findings of Heinemann et al. (2009) and highlight the need for replication studies in psychology research.	Cognitive control, Consciousness, Context, CSPC effect, Masked priming	1	Originally disagreed, AS changed coding after second look at paper.	0	1	no support	no support	2	"""In the present study, we aim at replicating the experiment of Heinemann et al. (2009) in which the proportion of congruent and incongruent trials between different contexts was varied in a masked priming task. Their results showed a reduction of the congruency effect for the context with more incongruent trials. However, this CSPC effect was only observed when the prime–target conflict was conscious, rather than unconscious, suggesting that context-specific control operates within the boundaries of awareness. """	we aim at replicating	"""Our replication attempt however contrasts these findings. In the first experiment we found no evidence for a CSPC effect in reaction times (RTs), neither in the conscious nor in the unconscious condition. The error rate analysis did show a CSPC effect, albeit not one modulated by consciousness. In the second experiment we found an overall CSPC effect in RTs, independent of consciousness. The error rates did not display a CSPC pattern"""		0	0	1	1	0	1899-12-31T00:10:00Z	This paper discusses two replications of a different study. The second experiment was designed to be an exact replication of one of the original studies. Coding of this paper is based on the results of the first experiment, as it had its own method. Inspecting the main text did not yield a more specific hypothesis.	1	not codeable	no support		We therefore aimed at replicating the results of Heinemann et al. (2009), and predicted the absence of a CSPC effect in the unconscious condition.	aimed at replicating the results		We could not replicate Heinemann et al.’s (2009) findings, in the sense that we did not find any evidence for a modulation of the size of the CSPC effect by consciousness, neither when considering only the test trials nor when considering all trials. Moreover, for the conscious condition we could not even demonstrate a CSPC effect in RTs, thereby failing to demonstrate the presence of the effect under investigation, and thereby failing to replicate the results of the original studies of Crump et al. (2006) and Crump and Milliken (2009).			1	1	0	1899-12-31T00:08:00Z	Cannot clearly be coded: Abstract states no hypotheses, again the authors write about replicating an effect instead.		1	1		0			1	1
2	1		1	no support	0	0	1		tested ... hypotheses	"""In the current study, we tested the following hypotheses. First, mimicry of facial displays of happiness will occur for both ingroup and outgroup members, whereas we expect that the facial displays of the three negative emotions will be mimicked to a greater extent when displayed by ingroup members, which would lend support to the Emotion Mimicry in Context view. Second,..."""	"""In conclusion, the most important results of van der Schalk, Fischer, et al. (2011 van der Schalk, J., Hawk, S. T., Fischer, A., & Doosje, B. (2011). Moving faces, looking places: Validation of the Amsterdam Dynamic Facial Expression Set (ADFES). Emotion, 11, 907–920. doi:10.1037/a0023853
 [Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
 ) were not replicated, that is, no support was found for more emotional mimicry of ingroup compared to outgroup faces. This means that the Contextual Model of Emotional Mimicry is not supported"""	1	1	10.1080/23743603.2017.1298355	Mimicry of ingroup and outgroup emotional expressions	Sachisthal, Maien S. M.; Sauter, Disa A.; Fischer, Agneta H.	2016	Comprehensive Results in Social Psychology	© 2017, Published by Informa UK Limited, trading as Taylor & Francis Group. © 2017, © 2017 University of Amsterdam. Research into emotional mimicry has found that the extent to which we mimic others depends on group membership and the emotion at hand. Particularly, negative emotions are mimicked more when expressed by the perceiver’s ingroup. It is, however, still debated what process underlies emotional mimicry and whether previous findings of enhanced mimicry of negative emotions expressed by ingroup members are robust. We therefore first aimed to replicate Study 2 of van der Schalk, Fischer et al. (2011), specifically testing the finding of differences in emotional mimicry for models from different ethnic groups. Moreover, we extended the study by (1) including nonverbal emotional vocalizations and (2) including all negative emotions that were previously studied in a group mimicry context, that is, anger, fear, and sadness, in addition to happiness. We test two alternative explanations of emotional mimicry: whether emotional mimicry is a matched-motor response or whether emotional mimicry is influenced by meaning and context as proposed by the Emotion Mimicry in Context view. The results do not replicate the findings of van der Schalk, Fischer et al. (2011). For the facial and vocalization stimuli, we did not find emotional mimicry effects for anger, fear, or sadness, neither did we find effects of group membership. We only found emotional mimicry effects for happiness (action units 6 and 12) in the facial study. We discuss various explanations for the lack of findings, with the within-subjects design as most likely explanation.	emotion contagion, Emotional mimicry, emotional vocalizations, Matched-Motor Hypothesis	1		0	1	no support	no support	4	"""In the current study, we tested the following hypotheses. First, mimicry of facial displays of happiness will occur for both ingroup and outgroup members, whereas we expect that the facial displays of the three negative emotions will be mimicked to a greater extent when displayed by ingroup members, which would lend support to the Emotion Mimicry in Context view. Second,..."""	we tested the following hypotheses		"""In conclusion, the most important results of van der Schalk, Fischer, et al. (2011 van der Schalk, J., Hawk, S. T., Fischer, A., & Doosje, B. (2011). Moving faces, looking places: Validation of the Amsterdam Dynamic Facial Expression Set (ADFES). Emotion, 11, 907–920. doi:10.1037/a0023853
 [Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
 ) were not replicated, that is, no support was found for more emotional mimicry of ingroup compared to outgroup faces. This means that the Contextual Model of Emotional Mimicry is not supported"""	1	1	1	1	1	1899-12-31T00:06:00Z	The paper states that it is a replication and extension.	0																1	0		0			0	0
3	1		1	no support	0	0	1		"test whether
"	"""Our first aim was to test whether alcohol affects saccade countermanding; i.e., whether saccadic SSRT is lengthened during acute intoxication"""	"""3.3. Alcohol does not increase saccadic SSRT
No significant Drug x Time interaction was observed for mean saccadic SSRTs: Fig. 4B, Table 4 for statistical test outcomes, and both the pre-registered and post-hoc Bayesian tests substantially favoured the null hypothesis."""	1	1	10.1016/j.drugalcdep.2017.08.022	Impairment of manual but not saccadic response inhibition following acute alcohol intoxication*	Campbell, Anne Eileen; Chambers, Christopher D.; Allen, Christopher P.G.; Hedge, Craig; Sumner, Petroc	2017	Drug and Alcohol Dependence	© 2017 The Authors Background Alcohol impairs response inhibition; however, it remains contested whether such impairments affect a general inhibition system, or whether affected inhibition systems are embedded in, and specific to, each response modality. Further, alcohol-induced impairments have not been disambiguated between proactive and reactive inhibition mechanisms, and nor have the contributions of action-updating impairments to behavioural ‘inhibition’ deficits been investigated. Methods Forty Participants (25 female) completed both a manual and a saccadic stop-signal reaction time (SSRT) task before and after a 0.8 g/kg dose of alcohol and, on a separate day, before and after a placebo. Blocks in which participants were required to ignore the signal to stop or make an additional ‘dual' response were included to obtain measures of proactive inhibition as well as updating of attention and action. Results Alcohol increased manual but not saccadic SSRT. Proactive inhibition was weakly reduced by alcohol, but increases in the reaction times used to baseline this contrast prevent clear conclusions regarding response caution. Finally, alcohol also increased secondary dual response times of the dual task uniformly as a function of the delay between tasks, indicating an effect of alcohol on action-updating or execution. Conclusions The modality-specific effects of alcohol favour the theory that response inhibition systems are embedded within response modalities, rather than there existing a general inhibition system. Concerning alcohol, saccadic control appears relatively more immune to disruption than manual control, even though alcohol affects saccadic latency and velocity. Within the manual domain, alcohol affects multiple types of action updating, not just inhibition.	Alcohol, Inhibition, Manual, Saccade, SSRT	1		0	1	no support	no support	3	"""Our first aim was to test whether alcohol affects saccade countermanding; i.e., whether saccadic SSRT is lengthened during acute intoxication"""	our … aim was to test whether	"""3.3. Alcohol does not increase saccadic SSRT
No significant Drug x Time interaction was observed for mean saccadic SSRTs: Fig. 4B, Table 4 for statistical test outcomes, and both the pre-registered and post-hoc Bayesian tests substantially favoured the null hypothesis."""		1	1	1	0	1	1899-12-31T00:10:00Z	Very difficult to capture the first hypothesis and the complete evaluation of the first hypothesis.	0															Agreed to use AS' coding (no replication -- contains replication, but not first hypothesis)	1	0	Part of the study 'replicates' previous work, but not the first hypothesis/'aim'	1	1		0	0
4	1		1	partial support	1	1	1		hypothesize that	We hypothesize that participants adopting an expansive body posture are more likely to take a risky gamble and feel more powerful than participants adopting a constrictive body posture both inthe imagined and the performed conditions.	"""Body posture did not have a significant effect on the gambling decision, χ2(1,N=200)=0.25, p=.620, φ= .04. Indeed, 67.7% of participants in the expansive and 64.4% of participants in the constrictive body posture decided to gamble their money. Moreover, we investigated the effect of body posture on felt power using at-test. Participants adopting an expansive body posture (M= 2.24,SD=0.93)felt significantly more powerful than participant in the constrictive body posture (M= 1.99,SD=0.85),t(195.99) = 2.00,p= .047, 95% CI [0.004, 0.501], Cohen’sd=0.28."""	1	1	10.1080/23743603.2017.1341183	Real and imagined power poses: is the physical experience necessary after all?	Bombari, Dario; Mast, Marianne Schmid; Pulfrey, Caroline	2017	Comprehensive Results in Social Psychology	© 2017, © 2017 European Association of Social Psychology.Previous research investigated the effects of power poses at the behavioral, subjective, and neuroendocrine level. However, it is not clear whether the same effects would be obtained also by just imagining, rather than adopting, a power pose. We planned to investigate this question by asking 200 participants to either perform or imagine a constrictive or an expansive body posture during 2 min and then measure the effect on a gambling decision task and on felt power. We followed a sequential analysis procedure by running the first 100 participants in the performed posture condition in order to check the presence of the power posing effect. Because no effect of power poses on gambling decision or on felt power was found, we ran the remaining 100 participants also in the performed instead of the imagined condition. The results after running 200 participants confirmed that power poses did not affect gambling decision. However, participants felt more powerful after adopting an expansive pose compared to a constrictive pose. Exploratory analyses found that this effect was mainly driven by male participants. In addition, participants rated themselves as being more able to adopt the expansive body posture and they reported to put more effort in adopting the restrictive body posture. Overall, our results indicate that the effect of power poses on behavior might not be as widespread as previously thought of and suggest that moderators should be investigated carefully in future research.	felt power, gambling decision, imagined pose, performed pose, Power pose	1	AS' coding used since MS could not access the full text and the paper could not be coded from the abstract alone.	1	1	missing		4	"""Previous research investigated the effects of power poses at the behavioral, subjective, and neuroendocrine level. However, it is not clear whether the same effects would be obtained also by just imagining, rather than adopting, a power pose. We planned to investigate this question by asking 200 participants to either perform or imagine a constrictive or an expansive body posture during 2 min and then measure the effect on a gambling decision task and on felt power."""		"""We followed a sequential analysis procedure by running the first 100 participants in the performed posture condition in order to check the presence of the power posing effect. Because no effect of power poses on gambling decision or on felt power was found, we ran the remaining 100 participants also in the performed instead of the imagined condition. The results after running 200 participants confirmed that power poses did not affect gambling decision."""		0	0	0	1	1	1899-12-31T00:07:00Z	Hypothesis is not explicitly stated. Since this paper investigates investigates what happens to a previously found effect when a new condition is added, it was coded as being a conceptual replication. The researchers did not perform their experiment with the two groups (performing vs. imagining power poses) mentioned in the hypothesis, instead all participants performed the experiment in the performing group.	1	partial support	partial support		We hypothesize that participants adopting an expansive body posture are more likely to take a risky gamble and feel more powerful than participants adopting a constrictive body posture both inthe imagined and the performed conditions.	We hypothesize	"""Body posture did not have a significant effect on the gambling decision, χ2(1,N=200)=0.25, p=.620, φ= .04. Indeed, 67.7% of participants in the expansive and 64.4% of participants in the constrictive body posture decided to gamble their money. Moreover, we investigated the effect of body posture on felt power using at-test. Participants adopting an expansive body posture (M= 2.24,SD=0.93)felt significantly more powerful than participant in the constrictive body posture (M= 1.99,SD=0.85),t(195.99) = 2.00,p= .047, 95% CI [0.004, 0.501], Cohen’sd=0.28."""		1	1	1	1	0		The study has a sequential design, where a previously found effect should first be replicated before a new hypothesis based on this finding should be tested. Because the replication fails, the new hypothesis is never tested. I thus coded only the replication. This hypothesis posits two effects (gambling and felt power), but only one of these is found (felt power). Therefore I coded 'partial support'.		1	1		0			0	0
5	1		1	support	1	0	0	tested whether		"""This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA)"""	"""Results showed that GMA was unrelated to negotiation outcomes."""	0	0	10.1016/j.jrp.2017.12.003	Sense and sensibility: The role of cognitive and emotional intelligence in negotiation	Schlegel, Katja; Mehu, Marc; van Peer, Jacobien M.; Scherer, Klaus R.	2018	Journal of Research in Personality	© 2018 Elsevier Inc. This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA) and whether a novel measure of emotion recognition ability (ERA; a central component of EI) predicted these outcomes better than an established broad ability EI test. Results showed that GMA was unrelated to negotiation outcomes. Higher scores on the ERA test and the emotional understanding subtest of the broad EI measure were associated with higher dyadic gains and higher individual gains for participants’ counterparts. Negotiators with high ERA were also perceived as more cooperative and likable and showed higher self-ratings of cooperativeness. Overall, the ERA test predicted outcomes more consistently than the broad ability EI test.	Emotion recognition ability, Emotional intelligence, General mental ability, Negotiation, Social interaction	1		0	1	support	support	2	"""This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA)"""	this study tested whether		"""Results showed that GMA was unrelated to negotiation outcomes."""	0	0	1	0	1	1899-12-31T00:08:00Z	Had to check the main text to better understand the abstract	1	support	support		This study tested whether EI (conceptualized as a performance-based ability) predicted economic and relational outcomes in an employee-recruiter negotiation above general mental ability (GMA)	This study tested whether		We therefore concluded that in the present study, ability EI emerged as a more consistent predictor of negotiation outcomes than GMA.	0	1	1	0	1				1	0		0			0	0
6	1		1	no support	0	1	1	sought to replicate		"""In the current study, we sought to replicate the finding that adopting an open/expansive body posture increases subjective feelings of power"""	"""Results failed to replicate the previously found effect of body posture on subjective feelings of power"""	0	0	10.1080/23743603.2017.1327178	Power vs. persuasion: can open body postures embody openness to persuasion?	Latu, Ioana M.; Duffy, Sean; Pardal, Vaani; Alger, Madeliene	2017	Comprehensive Results in Social Psychology	© 2017, © 2017 European Association of Social Psychology.In the current study, we sought to replicate the finding that adopting an open/expansive body posture increases subjective feelings of power, while also investigating how these body postures influence the processing of persuasive messages. Two hundred participants were randomly assigned to adopt either an open or a closed body posture while reading either a strong or a weak persuasive message regarding junk food taxation. Afterwards, we measured participants’ attitudes toward junk food, subjective feelings of power, thought confidence, and openness. Results failed to replicate the previously found effect of body posture on subjective feelings of power. Compared to weak messages, strong messages led to more persuasion, higher subjective power, more thought confidence, and more openness. However, body posture did not affect these outcomes. Overall, these findings challenge the idea of a direct, causal relationship between open body postures and power, by showing that power posing effects are not maintained under certain conditions.		1		0	1	no support	no support	5	"""In the current study, we sought to replicate the finding that adopting an open/expansive body posture increases subjective feelings of power"""	we sought to replicate the finding	"""Results failed to replicate the previously found effect of body posture on subjective feelings of power"""		0	0	0	1	1	1899-12-31T00:05:00Z	The paper states that it replicates another study on body posture and subjective feelings of power, while it also investigates a different topic related to body postures. Therefore this paper was interpreted as being an replication and extension.	0																1	1		1	1		0	1
7	1		1	support	1	1	1	performed ... replication		"""According to the crowd within effect, the average of two estimates from one person tends to be more accurate than a single estimate of that person. The effect implies that the well documented wisdom of the crowd effect—the crowd's average estimate tends to be more accurate than the individual estimates—can be obtained within a single individual. In this paper, we performed a high-powered, pre-registered replication study of the original experiment."""	"""Our replication results are evaluated with the traditional null hypothesis significance testing approach, as well as with effect sizes and their confidence intervals. We adopted a co-pilot approach, in the sense that all analyses were performed independently by two researchers using different analysis software. Moreover, we report Bayes factors for all tests. We successfully replicated the crowd within effect, both when the second guess was made immediately after the first guess, as well as when it was made 3 weeks later."""	0	0	10.3389/fpsyg.2014.00786	Measuring the crowd within again: a pre-registered replication study	Steegen, Sara; Dewitte, Laura; Tuerlinckx, Francis; Vanpaemel, Wolf	2014	Frontiers in Psychology	"According to the crowd within effect, the average of two estimates from one person tends to be more accurate than a single estimate of that person. The effect implies that the well documented wisdom of the crowd effect—the crowd's average estimate tends to be more accurate than the individual estimates—can be obtained within a single individual. In this paper, we performed a high-powered, pre-registered replication study of the original experiment. Our replication results are evaluated with the traditional null hypothesis significance testing approach, as well as with effect sizes and their confidence intervals. We adopted a co-pilot approach, in the sense that all analyses were performed independently by two researchers using different analysis software. Moreover, we report Bayes factors for all tests. We successfully replicated the crowd within effect, both when the second guess was made immediately after the first
 guess, as well as when it was made 3 weeks later. The experimental protocol, the raw data, the post-processed data and the analysis code are available online."	crowd within, registered replication study, power analysis, wisdom of the crowd, effect size	1		0	1	support	support	5	"""According to the crowd within effect, the average of two estimates from one person tends to be more accurate than a single estimate of that person. The effect implies that the well documented wisdom of the crowd effect—the crowd's average estimate tends to be more accurate than the individual estimates—can be obtained within a single individual. In this paper, we performed a high-powered, pre-registered replication study of the original experiment."""	we performed a … replication	"""Our replication results are evaluated with the traditional null hypothesis significance testing approach, as well as with effect sizes and their confidence intervals. We adopted a co-pilot approach, in the sense that all analyses were performed independently by two researchers using different analysis software. Moreover, we report Bayes factors for all tests. We successfully replicated the crowd within effect, both when the second guess was made immediately after the first guess, as well as when it was made 3 weeks later."""		0	0	1	1	0	1899-12-31T00:04:00Z		0																1	1		0			1	1
8	0	RRR	1	exclude		1	1							10.1177/1745691615605826	Registered Replication Report: Hart & Albarracín (2011)	Eerland, A.; Sherrill, A. M.; Magliano, J. P.; Zwaan, R. A.; Arnal, J. D.; Aucoin, P.; Berger, S. A.; Birt, A. R.; Capezza, N.; Carlucci, M.; Crocker, C.; Ferretti, T. R.; Kibbe, M. R.; Knepp, M. M.; Kurby, C. A.; Melcher, J. M.; Michael, S. W.; Poirier, C.; Prenoveau, J. M.	2016	Perspectives on Psychological Science			1		0	1	missing	exclude	1							1	1	0	1899-12-31T00:02:00Z	This is a meta study that provides a effect size based on 12 direct replication studies	1	excluded (RRR)	exclude								1	1	0	1899-12-31T00:04:00Z	no hypothesis is described, only the *finding* which is to be replicated; full text mentions effect size estimation as a goal of the study		1	1		1	1		0	
9	1		1	no support	0	1	1	present ... replication		"""We present such a direct replication attempt of two seminal experiments originally conducted by Chen and Bargh (1999). In their first experiment, participants affectively evaluated attitude objects by pulling or pushing a lever. Participants who had to pull the lever with positively valenced attitude objects and push the lever with negatively valenced attitude objects (i.e., congruent instruction) did so faster than participants who had to follow the reverse (i.e., incongruent) instruction."""	"""We attempted to replicate both experiments and failed to find the effects reported by Chen and Bargh as indicated by our pre-registered Bayesian data analyses; nevertheless, the evidence in favor of the null hypotheses was only anecdotal, and definitive conclusions await further study."""	0	0	10.3389/fpsyg.2015.00335	On the automatic link between affect and tendencies to approach and avoid: Chen and Bargh (1999) revisited	Rotteveel, Mark; Gierholz, Alexander; Koch, Gijs; van Aalst, Cherelle; Pinto, Yair; Matzke, Dora; Steingroever, Helen; Verhagen, Josine; Beek, Titia F.; Selker, Ravi; Sasiadek, Adam; Wagenmakers, Eric-Jan	2015	Frontiers in Psychology	© 2015 Rotteveel, Gierholz, Koch, van Aalst, Pinto, Matzke, Steingroever, Verhagen, Beek, Selker, Sasiadek and Wagenmakers.Within the literature on emotion and behavioral action, studies on approach-avoidance take up a prominent place. Several experimental paradigms feature successful conceptual replications but many original studies have not yet been replicated directly. We present such a direct replication attempt of two seminal experiments originally conducted by Chen and Bargh (1999). In their first experiment, participants affectively evaluated attitude objects by pulling or pushing a lever. Participants who had to pull the lever with positively valenced attitude objects and push the lever with negatively valenced attitude objects (i.e., congruent instruction) did so faster than participants who had to follow the reverse (i.e., incongruent) instruction. In Chen and Bargh's second experiment, the explicit evaluative instructions were absent and participants merely responded to the attitude objects by either always pushing or always pulling the lever. Similar results were obtained as in Experiment 1. Based on these findings, Chen and Bargh concluded that (1) attitude objects are evaluated automatically; and (2) attitude objects automatically trigger a behavioral tendency to approach or avoid. We attempted to replicate both experiments and failed to find the effects reported by Chen and Bargh as indicated by our pre-registered Bayesian data analyses; nevertheless, the evidence in favor of the null hypotheses was only anecdotal, and definitive conclusions await further study.	Affect, Approach, Avoidance, Emotion, Replication	1	12-11-2019 - added [hypothesis_intro] from [hypothesis_quote]	0	1	no support	no support	4	"""We present such a direct replication attempt of two seminal experiments originally conducted by Chen and Bargh (1999). In their first experiment, participants affectively evaluated attitude objects by pulling or pushing a lever. Participants who had to pull the lever with positively valenced attitude objects and push the lever with negatively valenced attitude objects (i.e., congruent instruction) did so faster than participants who had to follow the reverse (i.e., incongruent) instruction."""			"""We attempted to replicate both experiments and failed to find the effects reported by Chen and Bargh as indicated by our pre-registered Bayesian data analyses; nevertheless, the evidence in favor of the null hypotheses was only anecdotal, and definitive conclusions await further study."""	0	0	1	1	0	1899-12-31T00:05:00Z		0																1	1		0			1	1
10	1		1	support	1	0	1		expected that	"""We expected that, relative to attachment, glorification would reduce perceived entitlement to seek asylum, heighten realistic threat, and attributions of blaming asylum seekers for their situation. Realistic threat and entitlement would predict blame that, in turn, would negatively predict sympathy and guilt, and would positively predict schadenfreude (S-BC; see Figure 1)."""	"""Consistent with our hypothesized model, relative to attach-ment, in the Australian sample, glorification decreased appraisals of entitlement to seek asylum and increased appraisals of realistic threat imposed by asylum seekers."""	1	1	10.1080/23743603.2017.1360573	Glorifying national identification increases schadenfreude about asylum seekers when they are a threat, not entitled to seek asylum, and blamed for their adversity	Berndsen, Mariëtte; Thomas, Emma F.; McGarty, Craig; Bliuc, Ana-Maria; Hendres, Daniela Muntele	2017	Comprehensive Results in Social Psychology	© 2017, © 2017 European Association of Social Psychology. The purpose of the current research is to explore how mode of identification (glorification versus attachment) results in either schadenfreude “with a bad conscience” (S-BC) about disadvantaged people, or prosocial emotional responses (sympathy and guilt) towards them through appraisals of entitlement, realistic threat, and blame. These relationships were investigated amongst Australians (N = 213) and Romanians (N = 210) in relation to the treatment of asylum seekers in detention centres in those two countries. Consistent with hypotheses, Australian glorifying identifiers considered asylum seekers to be a threat to well-being and to not be entitled to seek asylum. Asylum seekers were therefore blamed for their situation in detention centres and this enhanced group-based S-BC. Very different findings were observed for attached identifiers who expressed group-based sympathy and guilt towards asylum seekers. Similar pathways were observed in the Romanian sample except for the role of entitlement. Moreover, S-BC and related constructs were relatively strong in the Australian sample. The findings are important because they point to the foundations of group-based S-BC. Findings are discussed in relation to the current scale of the global refugee crisis.	asylum seekers, blame, cross-cultural, national identification, Schadenfreude, threat	0	From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19; changed coding of [is replication] to AS coding	1	1	support	support		"""The purpose of the current research is to explore how mode of identification (glorification versus attachment) results in either schadenfreude “with a bad conscience” (S-BC) about disadvantaged people, or prosocial emotional responses (sympathy and guilt) towards them through appraisals of entitlement, realistic threat, and blame. "" - Not specific enough for a clear hypothesis in my opinion"			"""Consistent with hypotheses, Australian glorifying identifiers considered asylum seekers to be a threat to well-being and to not be entitled to seek asylum."""	0	0	0	0	1	1899-12-31T00:05:08Z	The link is the fully updated version of this paper. Full text is not available. The abstract does not state the hypotheses, but does state results regarding the hypotheses. From this it is possible to determine the implied first hypothesis, but there is no way to be sure.	1	support	support		We expected that, relative to attachment, glorification would reduce perceived entitlement to seek asylum, heighten realistic threat, and attributions of blaming asylum seekers for their situation. Realistic threat and entitlement would predict blame that, in turn, would negatively predict sympathy and guilt, and would positively predict schadenfreude (S-BC; see Figure 1).	We expected		Consistent with our hypothesized model, relative to attach-ment, in the Australian sample, glorification decreased appraisals of entitlement to seek asylum and increased appraisals of realistic threat imposed by asylum seekers.	1	1	0	1	1	1899-12-31T00:11:30Z	Hypothesis not in abstract		1	0	The paper contains an internal replication/extension on a new population, but Study 1 is novel	0			0	0
