Full title,Title29,Title20,ISSN,EISSN,Category name
ACADEMIC PSYCHIATRY,ACAD PSYCHIATRY,ACAD PSYCHIATR,1042-9670,1545-7230,PSYCHIATRY/PSYCHOLOGY
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,ACTA PSYCHIAT SCAND,0001-690X,1600-0447,PSYCHIATRY/PSYCHOLOGY
ACTA PSYCHOLOGICA,ACTA PSYCHOL,ACTA PSYCHOL,0001-6918,1873-6297,PSYCHIATRY/PSYCHOLOGY
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRIA,ACTAS ESP PSIQUIATRI,1139-9287,1578-2735,PSYCHIATRY/PSYCHOLOGY
ADAPTIVE BEHAVIOR,ADAPT BEHAV,ADAPT BEHAV,1059-7123,1741-2633,PSYCHIATRY/PSYCHOLOGY
ADDICTIVE BEHAVIORS,ADDICT BEHAV,ADDICT BEHAV,0306-4603,1873-6327,PSYCHIATRY/PSYCHOLOGY
Advances in Child Development and Behavior,ADV CHILD DEVELOP BEHAV,ADV CHILD DEV BEHAV,0065-2407,null,PSYCHIATRY/PSYCHOLOGY
Advances in Cognitive Psychology,ADV COGN PSYCHOL,ADV COGN PSYCHOL,1895-1171,1895-1171,PSYCHIATRY/PSYCHOLOGY
Advances in Experimental Social Psychology,ADV EXP SOC PSYCHOL,ADV EXP SOC PSYCHOL,0065-2601,null,PSYCHIATRY/PSYCHOLOGY
Advances in Psychosomatic Medicine,ADVAN PSYCHOSOM MED,ADV PSYCHOSOM MED,0065-3268,1662-2855,PSYCHIATRY/PSYCHOLOGY
AGGRESSION AND VIOLENT BEHAVIOR,AGGRESS VIOLENT BEHAVIOR,AGGRESS VIOLENT BEH,1359-1789,1873-6335,PSYCHIATRY/PSYCHOLOGY
AGGRESSIVE BEHAVIOR,AGGRESS BEHAV,AGGRESSIVE BEHAV,0096-140X,1098-2337,PSYCHIATRY/PSYCHOLOGY
AGING & MENTAL HEALTH,AGING MENT HEALTH,AGING MENT HEALTH,1360-7863,1364-6915,PSYCHIATRY/PSYCHOLOGY
AGING NEUROPSYCHOLOGY AND COGNITION,AGING NEUROPSYCHOL COGN,AGING NEUROPSYCHOL C,1382-5585,1744-4128,PSYCHIATRY/PSYCHOLOGY
AIDS AND BEHAVIOR,AIDS BEHAV,AIDS BEHAV,1090-7165,1573-3254,PSYCHIATRY/PSYCHOLOGY
AMERICAN BEHAVIORAL SCIENTIST,AMER BEHAV SCI,AM BEHAV SCI,0002-7642,1552-3381,PSYCHIATRY/PSYCHOLOGY
