Discipline,RR,comment,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
Accounting research,not checked,,ZEPBXDQT,journalArticle,2018,"Ertimur, Yonca; Rawson, Caleb; Rogers, Jonathan L.; Zechman, Sarah L. C.",Bridging the Gap: Evidence from Externally Hired CEOs,Journal of Accounting Research,,218456,10.1111/1475-679X.12200,http://doi.wiley.com/10.1111/1475-679X.12200,,23/01/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:14,521-579,,,,,,Bridging the Gap,,,,,,,en,,,,,CrossRef,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,44CIQSIU,journalArticle,2018,"Hail, Luzi; Tahoun, Ahmed; Wang, Clare",Corporate Scandals and Regulation <sup>*</sup>,Journal of Accounting Research,,218456,10.1111/1475-679X.12201,http://doi.wiley.com/10.1111/1475-679X.12201,,30/01/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:11,617-671,,,,,,,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,YEXTNYVH,journalArticle,2018,"Allee, Kristian D.; Deangelis, Matthew D.; Moon, James R.",Disclosure “Scriptability”,Journal of Accounting Research,,218456,10.1111/1475-679X.12203,http://doi.wiley.com/10.1111/1475-679X.12203,,07/02/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:10,313-362,,,,,,,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,E68WFP3J,journalArticle,2018,"Li, Shelley Xin; Sandino, Tatiana","Effects of an Information Sharing System on Employee Creativity, Engagement, and Performance",Journal of Accounting Research,,218456,10.1111/1475-679X.12202,http://doi.wiley.com/10.1111/1475-679X.12202,,03/02/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:12,,,,,,,,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,X3M9VHNA,journalArticle,2018,"Bernard, Darren; Cade, Nicole L.; Hodge, Frank",Investor Behavior and the Benefits of Direct Stock Ownership <sup>*†</sup>,Journal of Accounting Research,,218456,10.1111/1475-679X.12198,http://doi.wiley.com/10.1111/1475-679X.12198,,22/01/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:10,,,,,,,,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,VHMF23ZE,journalArticle,2018,"Eyring, Henry; Narayanan, V.G.",Performance Effects of Setting a High Reference Point for Peer-Performance Comparison,Journal of Accounting Research,,218456,10.1111/1475-679X.12199,http://doi.wiley.com/10.1111/1475-679X.12199,,24/01/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:14,581-615,,,,,,,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,X22UPGZ2,journalArticle,2018,"Kowaleski, Zach; Mayhew, Brian W.; Tegeler, Amy C.",The Impact of Consulting Services on Audit Quality: An Experimental Approach,Journal of Accounting Research,,218456,10.1111/1475-679X.12197,http://doi.wiley.com/10.1111/1475-679X.12197,,18/01/2018,25/11/2018 17:58,25/11/2018 17:58,09/02/2018 15:15,,,,,,,The Impact of Consulting Services on Audit Quality,,,,,,,en,,,,,CrossRef,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting research,not checked,,VF7NLVHL,journalArticle,2018,"Duin, Sanne R. Van; Dekker, Henri C.; Wielhouwer, Jacco L.; Mendoza, Juan P.",The Tone from above: The Effect of Communicating a Supportive Regulatory Strategy on Reporting Quality,Journal of Accounting Research,,218456,10.1111/1475-679X.12205,http://doi.wiley.com/10.1111/1475-679X.12205,,10/02/2018,25/11/2018 17:58,25/11/2018 17:58,07/03/2018 23:00,,,,,,,The Tone from above,,,,,,,en,,,,,CrossRef,,0,"<p>Does not indicate it is an RR like other articles of this special issue (with metadata), but does indicate in article abstract it is part of the RR pilot as does the summary article in the same issue (https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-679X.12208)</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal behaviour,not checked,,3S9BYHSI,journalArticle,2018,"Parrish, Audrey E.; Afrifa, Elyce; Beran, Michael J.",Exploring decoy effects on computerized task preferences in rhesus monkeys (Macaca mulatta).,Animal Behavior and Cognition,,"23725052, 23724323",10.26451/abc.05.02.06.2018,http://www.animalbehaviorandcognition.org/article.php?id=1145,,30/04/2018,25/11/2018 17:58,25/11/2018 17:58,07/08/2018 17:11,,,2,5,,,,,,,,,,,,,,,Crossref,,1,"<p>PDF accessible here: <a href=""http://animalbehaviorandcognition.org/uploads/journals/19/AB&amp;C_2018_Vol5(2)_Parrish_et_al.pdf"">http://animalbehaviorandcognition.org/uploads/journals/19/AB&amp;C_2018_Vol5(2)_Parrish_et_al.pdf</a></p> <p>Link to Stage 1 provided in the beginning of the manuscript.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical medicine,not checked,,JK36FVUC,journalArticle,2017,"Blijleven, Vincent; Koelemeijer, Kitty; Wetzels, Marijntje; Jaspers, Monique","Workarounds Emerging From Electronic Health Record System Usage: Consequences for Patient Safety, Effectiveness of Care, and Efficiency of Care",JMIR Human Factors,,,10.2196/humanfactors.7978,https://humanfactors.jmir.org/2017/4/e27/,"Background: Health care providers resort to informal temporary practices known as workarounds for handling exceptions to normal workflow unintendedly imposed by electronic health record systems (EHRs). Although workarounds may seem favorable at first sight, they are generally suboptimal and may jeopardize patient safety, effectiveness of care, and efficiency of care. Objective: Research into the scope and impact of EHR workarounds on patient care processes is scarce. This paper provides insight into the effects of EHR workarounds on organizational workflows and outcomes of care services by identifying EHR workarounds and determining their rationales, scope, and impact on health care providers’ workflows, patient safety, effectiveness of care, and efficiency of care. Knowing the rationale of a workaround provides valuable clues about the source of origin of each workaround and how each workaround could most effectively be resolved. Knowing the scope and impact a workaround has on EHR-related safety, effectiveness, and efficiency provides insight into how to address related concerns. Methods: Direct observations and follow-up semistructured interviews with 31 physicians, 13 nurses, and 3 clerks and qualitative bottom-up coding techniques was used to identify, analyze, and classify EHR workarounds. The research was conducted within 3 specialties and settings at a large university hospital. Rationales were associated with work system components (persons, technology and tools, tasks, organization, and physical environment) of the Systems Engineering Initiative for Patient Safety (SEIPS) framework to reveal their source of origin as well as to determine the scope and the impact of each EHR workaround from a structure-process-outcome perspective. Results: A total of 15 rationales for EHR workarounds were identified of which 5 were associated with persons, 4 with technology and tools, 4 with the organization, and 2 with the tasks. Three of these 15 rationales for EHR workarounds have not been identified in prior research: data migration policy, enforced data entry, and task interference. Conclusions: EHR workaround rationales associated with different SEIPS work system components demand a different approach to be resolved. Persons-related workarounds may most effectively be resolved through personal training, organization-related workarounds through reviewing organizational policy and regulations, tasks-related workarounds through process redesign, and technology- and tools-related workarounds through EHR redesign efforts. Furthermore, insights gained from knowing a workaround’s degree of influence as well as impact on patient safety, effectiveness of care, and efficiency of care can inform design and redesign of EHRs to further align EHR design with work contexts, subsequently leading to better organization and (safe) provision of care. In doing so, a research team in collaboration with all stakeholders could use the SEIPS framework to reflect on the current and potential future configurations of the work system to prevent unfavorable workarounds from occurring and how a redesign of the EHR would impact interactions between the work system components.  [JMIR Hum Factors 2017;4(4):e27]",2017,25/11/2018 17:58,25/11/2018 17:58,02/11/2018 16:31,e27,,4,4,,,Workarounds Emerging From Electronic Health Record System Usage,,,,,,,en,"Unless stated otherwise, all articles are open-access distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/2.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work (",,,,humanfactors.jmir.org,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
