"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RNH3MMQA","journalArticle","2018","Joyner, Keanan J.; Acuff, Samuel F.; Meshesha, Lidia Z.; Patrick, Christopher J.; Murphy, James G.","Alcohol Family History Moderates the Association Between Evening Substance-Free Reinforcement and Alcohol Problems","EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY","","1064-1297","10.1037/pha0000223","","Behavioral economic theories of substance abuse posit that deficits in substance-free reward increase risk for substance misuse, but little research has examined potential moderators of this relationship, including dispositional risk factors. Here, we tested the hypothesis that young adult heavy drinkers with family histories of alcohol misuse would show a stronger association specifically between low evening substance-free reinforcement and alcohol problems compared to those without a family history of alcohol misuse. Participants were 317 college students reporting heavy episodic drinking (M-age = 18.8, SD = 1.1, 61% female, 79% White) who completed a questionnaire about engagement and enjoyment in rewarding activities not involving substance use after 7 p.m., along with measures of personal and parental alcohol use/problems. Evening substance-free reinforcement was negatively associated with typical drinking level for women, but not for men. Family history status did not show a significant association with typical alcohol consumption or evening substance-free reinforcement (operationalized as activity participation x enjoyment), but did show a significant association with alcohol problems. Evening substance-free reinforcement was significantly negatively related to alcohol problems for both men and women. However, the presence of a family history of alcohol misuse moderated this relationship, such that only individuals with familial risk for alcohol misuse who reported lower evening substance-free reinforcement evidenced greater alcohol-related problems. These findings suggest that lower evening substance-free reinforcement is associated with alcohol misuse among young adults, and that this association is exacerbated among individuals with familial risk for developing alcohol problems.","2018-12","2018-12-21 16:22:16","2018-12-21 16:22:16","","560-569","","6","26","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISUBQHPL","journalArticle","2018","Rodgers, Rachel F.; DuBois, Russell; Frumkin, Madelyn R.; Robinaugh, Donald J.","A network approach to eating disorder symptomatology: Do desire for thinness and fear of gaining weight play unique roles in the network?","BODY IMAGE","","1740-1445","10.1016/j.bodyim.2018.07.004","","This study used network analyses to test the hypotheses that desire for thinness and fear of gaining weight are related but distinct constructs that play a central role in disordered eating. Data from a sample of 251 college women were used. Sparse undirected eating disorder symptom networks were calculated. Bootstrapped difference tests for edge weights and centrality indices were used to compare the position of desire for thinness and fear of gaining weight. Desire for thinness and fear of gaining weight exhibited unique patterns of associations within the network. Desire for thinness was highly connected to body dissatisfaction, thoughts about dieting, and thoughts about binge eating. Fear of gaining weight was not. Desire for thinness emerged as the most central symptom. Our findings support the distinction between fear of gaining weight and desire for thinness and their different roles within the eating disorder symptom network. (C) 2018 Elsevier Ltd. All rights reserved.","2018-12","2018-12-21 16:22:16","2018-12-21 16:22:16","","1-9","","","27","","","","","","","","","","English","","","","","","","","","","","Desire for thinness; Eating disorders; Fear of fat; Fear of weight gain; Network; Subthreshold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72C6VA8W","journalArticle","2018","Hirsch, Colette R.; Krahe, Charlotte; Whyte, Jessica; Loizou, Sofia; Bridge, Livia; Norton, Sam; Mathews, Andrew","Interpretation Training to Target Repetitive Negative Thinking in Generalized Anxiety Disorder and Depression","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY","","0022-006X","10.1037/ccp0000310","","Objective: Repetitive negative thinking (RNT) for example, worry in generalized anxiety disorder (GAD) and rumination in depression, is often targeted during psychological treatments. To test the hypothesis that negative interpretation bias contributes to worry and rumination, we assessed the effects of inducing more positive interpretations in reducing RNT. Method: Volunteers diagnosed with GAD (66) or depression (65) were randomly allocated to one of two versions of cognitive bias modification for interpretation (CBM-I), either with or without RNT priming prior to training, or a control condition, each involving 10 Internet-delivered sessions. Outcome measures of interpretation bias, a behavioral RNT task and self-reported worry, rumination, anxiety and depression were obtained at baseline, after home-based training and at 1-month follow-up (self-report questionnaires only). Results: CBM-I training, across diagnostic groups, promoted a more positive interpretation bias and led to reductions in worry, rumination, and depressive symptoms, which were maintained at follow-up. Anxiety symptoms were reduced only in the GAD group at follow-up. There were no differences between CBM-I versions; brief priming of RNT did not influence CBM-I effectiveness. Level of interpretation bias post training partially mediated the effects of CBM-I on follow-up questionnaire scores. Conclusions: In contrast to some recent failures to demonstrate improvements following Internet-delivered CBM, we found that self-reported RNT and negative mood were reduced by CBM-I. This is consistent with a causal role for negative interpretation bias in both worry and rumination, suggesting a useful role for CBM-I within treatments for anxiety and depression.","2018-12","2018-12-21 16:22:16","2018-12-21 16:22:16","","1017-1030","","12, SI","86","","","","","","","","","","English","","","","","","","","","","","cognitive bias modification (CBM); depression; generalized anxiety disorder (GAD); interpretation bias; repetitive negative thinking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENHY32QP","journalArticle","2018","Hu, Bi Ying; Wu, Huiping; Curby, Timothy W.; Wu, Zhongling; Zhang, Xiao","Teacher-child interaction quality, attitudes toward reading, and literacy achievement of Chinese preschool children: Mediation and moderation analysis","LEARNING AND INDIVIDUAL DIFFERENCES","","1041-6080","10.1016/j.lindif.2018.09.004","","This study explores how classroom teaching quality and preschoolers' attitudes toward reading contribute to their literacy achievement in the Chinese context. A moderated mediation model is hypothesized where teacher child interaction quality predicts children's literacy outcomes via their reading attitudes, but the strength of this whole mediation process is moderated by the level of teacher-child interaction quality. A sample of 567 Chinese kindergarteners from 29 classrooms was recruited to test the hypothesized model using a longitudinal design. The results support our assumptions: teacher's emotional support had a positive effect on children's reading attitudes, which in turn had a positive effect on their reading and vocabulary learning outcomes. Three domains of teacher-child interaction quality at the baseline together were associated with children's Chinese reading through later classroom organization. Moreover, children with better reading attitudes benefited more from higher instructional support and then gained more vocabulary learning achievement. Implication for preschool teaching training and professional development are included.","2018-12","2018-12-21 16:22:17","2018-12-21 16:22:17","","1-11","","","68","","","","","","","","","","English","","","","","","","","","","","Attitudes toward reading; Literacy achievement; Preschool children; Teacher-child interaction quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8N7P5WV4","journalArticle","2018","Barlev, Michael; Mermelstein, Spencer; German, Tamsin C.","Representational coexistence in the God concept: Core knowledge intuitions of God as a person are not revised by Christian theology despite lifelong experience","PSYCHONOMIC BULLETIN & REVIEW","","1069-9384","10.3758/s13423-017-1421-6","","Previous research has shown that in the minds of young adult religious adherents, acquired theology about the extraordinary characteristics of God (e.g., omniscience) coexists with, rather than replaces, an initial concept of God formed by co-option of the person concept. We tested the hypothesis that representational coexistence holds even after extensive experience with Christian theology, as indexed by age. Christian religious adherents ranging in age from 18 to 87 years were asked to evaluate as true or false statements on which core knowledge intuitions about persons and Christian theology about God were consistent (both true or both false) or inconsistent (true on one and false on the other). Results showed, across adulthood, more theological errors in evaluating inconsistent versus consistent statements. Older adults also exhibited slower response times to inconsistent versus consistent statements. These findings show that despite extensive experience, indeed a lifetime of experience for some participants, the Christian theological God concept does not separate from the initial person concept from which it is formed. In fact, behavioral signatures of representational coexistence were not attenuated by experience. We discuss the broader implications of these findings to the acquisition of evolutionarily new concepts.","2018-12","2018-12-21 16:22:17","2018-12-21 16:22:17","","2330-2338","","6","25","","","","","","","","","","English","","","","","","","","","","","Conceptual change; Core knowledge; God concept; Person concept; Religious beliefs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZRHV2HJ","journalArticle","2018","Stephan, Yannick; Sutin, Angelina R.; Luchetti, Martina; Caille, Pauline; Terracciano, Antonio","Polygenic Score for Alzheimer Disease and cognition: The mediating role of personality","JOURNAL OF PSYCHIATRIC RESEARCH","","0022-3956","10.1016/j.jpsychires.2018.10.015","","Alzheimer's disease (AD) polygenic risk score (PGS) is associated with lower cognitive functioning even among older individuals without dementia. We tested the hypothesis that personality traits mediate the association between AD genetic risk and cognitive functioning. Participants (N > 7,000, aged 50-99 years old) from the Health and Retirement Study were genotyped and completed personality and cognition tests at baseline. Cognition was assessed again four years later. Bootstrap analysis revealed that a higher AD polygenic risk score was associated with lower cognitive scores at baseline through higher neuroticism, lower conscientiousness, and lower levels of the industriousness facet of conscientiousness. In addition, a higher polygenic score for AD was associated with decline in cognition over four years in part through higher neuroticism and lower conscientiousness. The findings support the hypothesis that the genetic vulnerability for AD contributes to cognitive functioning in part through its association with personality traits.","2018-12","2018-12-21 16:22:17","2018-12-21 16:22:17","","110-113","","","107","","","","","","","","","","English","","","","","","","","","","","Cognition; Facets; Personality; Polygenic risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA7SBDIA","journalArticle","2018","Barnes, J. C.; Motz, Ryan T.","Reducing Racial Inequalities in Adulthood Arrest by Reducing Inequalities in School Discipline: Evidence From the School-to-Prison Pipeline","DEVELOPMENTAL PSYCHOLOGY","","0012-1649","10.1037/dev0000613","","There is a large body of evidence revealing that minorities-in particular, Black citizens-are over-represented in the criminal justice system. But the causes of these inequalities have been difficult to pin down. One line of work suggests the inequalities in arrest may be traced to inequalities in exposure to school discipline. Specifically, the school-to-prison pipeline literature suggests inequalities in school disciplinary practices may go on to produce inequalities in arrest prevalence. In this article, we draw on a large nationally representative sample to test the hypothesis that racial inequalities in school-based punishments will (partially) explain inequalities in adulthood arrest. We find support for this pathway and, by drawing on recent developments in epidemiology, produce initial estimates of the degree to which policymakers might be able to close the racial gap in arrest if it were possible to close the racial gap in school discipline.","2018-12","2018-12-21 16:22:17","2018-12-21 16:22:17","","2328-2340","","12","54","","","","","","","","","","English","","","","","","","","","","","arrest; mediation; racial inequalities; school-to-prison pipeline; suspension/expulsion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IA5JF4IA","journalArticle","2018","Meyerhoff, Hauke S.; Suzuki, Satoru","Beep, Be-, or -Ep: The Impact of Auditory Transients on Perceived Bouncing/Streaming","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE","","0096-1523","10.1037/xhp0000585","","Establishing object correspondence over time (”Which object went where?”) is important for productively interacting with the surrounding environment. Here, we study auditory contributions to this process using the ambiguous bouncing/streaming display. Typically, a brief coinciding tone alters this dynamic event toward the perception of 2 disks bouncing off each other rather than streaming past each other. In 4 experiments, we tested the hypothesis that this crossmodal interaction is primarily driven by additive contributions of sensory transients rather than by the high-level processing of sound category. We orthogonally manipulated the number and semantic category of auditory transients. Specifically, different combinations of auditory transients generate qualitatively different events with distinct meanings; a single auditory transient can be a tone onset or offset, and a pair of transients can be a brief tone (onset + offset) or a brief gap (offset + onset). The proportion of seeing bouncing was larger for 2 transients than 1 transient and larger for 1 transient than no transients regardless of the sound's semantic category. A tone onset and a tone offset were equally effective (relative to no transients), and a brief tone (onset + offset) and a brief gap (offset + onset) were equivalently more effective. We identified a critical window of +/- 200 ms around the visual overlap; a longer tone whose offset occurred outside the window was only as effective as a single onset. These results suggest that a simple addition of auditory transients within the critical time window primarily contributes to the auditory biasing of visual bouncing percepts.","2018-12","2018-12-21 16:22:18","2018-12-21 16:22:18","","1995-2004","","12","44","","","","","","","","","","English","","","","","","","","","","","audio-visual interaction; auditory transients; bouncing/streaming illusion; onset versus offset; SOA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXFXC3TW","journalArticle","2018","Bickel, Warren K.; Moody, Lara N.; Koffarnus, Mikhail; Thomas, J. Graham; Wing, Rena","Self-control as measured by delay discounting is greater among successful weight losers than controls","JOURNAL OF BEHAVIORAL MEDICINE","","0160-7715","10.1007/s10865-018-9936-5","","Long-term weight loss maintenance is likely to require strong self-control in order to sustain changes in behavior patterns. We, therefore, tested the hypothesis that those who have successfully maintained weight loss may have superior self-control compared to control participants. Self-control was assessed using a delay discounting task through a webbased assessment of members of the National Weight Control Registry (NWCR: N=757; non-obese=605; obese=152) and control participants (Control N=443; nonobese = 236; obese=207) from Amazon's Mechanical Turk. Both NWCR members that were currently obese (t =5.42, p<0.001) and nonobese (t=5.28, p<0.001) discounted the future less than control participants with comparable weight statuses. These results are indicative of higher levels of self-control behaviors in individuals that have lost and successfully maintained weight loss. Thus, successful weight losers may exhibit stronger self-control, as measured through discounting of future rewards, However, further research is needed to determine whether strong selfcontrol enables individuals to succeed at weight loss maintenance or develops as a consequence.","2018-12","2018-12-21 16:22:18","2018-12-21 16:22:18","","891-896","","6","41","","","","","","","","","","English","","","","","","","","","","","Delay discounting; Impulsivity; Self-control; Weight loss; Weight loss maintenance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGWGE86B","journalArticle","2018","Chu, Chia-Ying; Minai, Utako","Children's Demonstrative Comprehension and the Role of Non-linguistic Cognitive Abilities: A Cross-Linguistic Study","JOURNAL OF PSYCHOLINGUISTIC RESEARCH","","0090-6905","10.1007/s10936-018-9565-8","","Previous studies have shown that young children often fail to comprehend demonstratives correctly when they are uttered by a speaker whose perspective is different from children's own, and instead tend to interpret them with respect to their own perspective (e.g., Webb and Abrahamson in J Child Lang 3(3):349-367, 1976); Clark and Sengul in J Child Lang 5(3):457-475, 1978). In the current study, we examined children's comprehension of demonstratives in English (this and that) and Mandarin Chinese (zhe and na) in order to test the hypothesis that children's non-adult-like demonstrative comprehension is related to their still-developing non-linguistic cognitive abilities supporting perspective-taking, including Theory of Mind and Executive Function. Testing 3 to 6-year-old children on a set of demonstrative comprehension tasks and assessments of Theory of Mind and Executive Function, our findings revealed that children's successful demonstrative comprehension is related to their development of Theory of Mind and Executive Function, for both of the language groups. These findings suggest that the development of deictic expressions like demonstratives may be related to the development of non-linguistic cognitive abilities, regardless of the language that the children are acquiring.","2018-12","2018-12-21 16:22:18","2018-12-21 16:22:18","","1343-1368","","6","47","","","","","","","","","","English","","","","","","","","","","","Demonstrative comprehension; English; Executive function; Mandarin Chinese; Preschool children; Theory of mind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
